;Time;Demand;Temperature;Holiday
1;1/1/12 0:00;4382.825174;21.4;TRUE
2;1/1/12 0:30;4263.365526;21.05;TRUE
3;1/1/12 1:00;4048.966046;20.7;TRUE
4;1/1/12 1:30;3877.56333;20.55;TRUE
5;1/1/12 2:00;4036.229746;20.4;TRUE
6;1/1/12 2:30;3865.597244;20.25;TRUE
7;1/1/12 3:00;3694.097664;20.1;TRUE
8;1/1/12 3:30;3561.623686;19.6;TRUE
9;1/1/12 4:00;3433.035352;19.1;TRUE
10;1/1/12 4:30;3359.468;18.95;TRUE
11;1/1/12 5:00;3331.343274;18.8;TRUE
12;1/1/12 5:30;3304.641186;18.65;TRUE
13;1/1/12 6:00;3272.106404;18.5;TRUE
14;1/1/12 6:30;3275.99806;18.85;TRUE
15;1/1/12 7:00;3370.42409;19.2;TRUE
16;1/1/12 7:30;3494.418154;20.1;TRUE
17;1/1/12 8:00;3580.091164;21;TRUE
18;1/1/12 8:30;3719.985142;22.55;TRUE
19;1/1/12 9:00;3909.300738;24.1;TRUE
20;1/1/12 9:30;4092.566212;25.2;TRUE
21;1/1/12 10:00;4245.024938;26.3;TRUE
22;1/1/12 10:30;4413.074788;27.7;TRUE
23;1/1/12 11:00;4599.507418;29.1;TRUE
24;1/1/12 11:30;4772.133542;30.2;TRUE
25;1/1/12 12:00;4938.79574;31.3;TRUE
26;1/1/12 12:30;5080.138254;32;TRUE
27;1/1/12 13:00;5211.915476;32.7;TRUE
28;1/1/12 13:30;5328.31718;32.65;TRUE
29;1/1/12 14:00;5436.420076;32.6;TRUE
30;1/1/12 14:30;5538.356502;32;TRUE
31;1/1/12 15:00;5641.188556;31.4;TRUE
32;1/1/12 15:30;5737.303578;30.6;TRUE
33;1/1/12 16:00;5831.138192;29.8;TRUE
34;1/1/12 16:30;5935.794824;30.2;TRUE
35;1/1/12 17:00;5999.870792;30.6;TRUE
36;1/1/12 17:30;6071.191688;31.35;TRUE
37;1/1/12 18:00;6082.502946;32.1;TRUE
38;1/1/12 18:30;6005.434908;30.6;TRUE
39;1/1/12 19:00;5890.774506;29.1;TRUE
40;1/1/12 19:30;5709.07195;28.25;TRUE
41;1/1/12 20:00;5529.864864;27.4;TRUE
42;1/1/12 20:30;5395.439534;26.55;TRUE
43;1/1/12 21:00;5368.114986;25.7;TRUE
44;1/1/12 21:30;5236.609354;24.95;TRUE
45;1/1/12 22:00;4992.28282;24.2;TRUE
46;1/1/12 22:30;4728.466002;23.15;TRUE
47;1/1/12 23:00;4515.15537;22.1;TRUE
48;1/1/12 23:30;4330.376528;21.85;TRUE
49;2/1/12 0:00;4367.914468;21.6;TRUE
50;2/1/12 0:30;4164.015958;21.4;TRUE
51;2/1/12 1:00;3898.239882;21.2;TRUE
52;2/1/12 1:30;3752.016756;20.95;TRUE
53;2/1/12 2:00;3941.369156;20.7;TRUE
54;2/1/12 2:30;3776.118154;20.55;TRUE
55;2/1/12 3:00;3601.350916;20.4;TRUE
56;2/1/12 3:30;3490.138704;20.35;TRUE
57;2/1/12 4:00;3433.902124;20.3;TRUE
58;2/1/12 4:30;3416.64658;20.5;TRUE
59;2/1/12 5:00;3437.95793;20.7;TRUE
60;2/1/12 5:30;3430.715412;20.95;TRUE
61;2/1/12 6:00;3488.721382;21.2;TRUE
62;2/1/12 6:30;3572.151288;22.15;TRUE
63;2/1/12 7:00;3746.740622;23.1;TRUE
64;2/1/12 7:30;3936.300246;24.9;TRUE
65;2/1/12 8:00;4097.803516;26.7;TRUE
66;2/1/12 8:30;4328.535242;28.45;TRUE
67;2/1/12 9:00;4600.146478;30.2;TRUE
