obs,RP,RW,RYL,U
1996Q1,3.70766868542887,4.006022064976,2.02457564678946,22.83
1996Q2,3.57550653196969,4.16073175317804,1.90115646333799,22.17
1996Q3,3.4486277916952,3.75030836276995,1.34848913302051,21.72
1996Q4,2.92993439620673,3.75272969227012,0.35409935432937,21.6
1997Q1,2.64327380287095,2.45300978770284,-0.258186744260114,21.3
1997Q2,2.28428197888764,2.12592233483816,-0.236454592188008,20.72
1997Q3,2.14482591286759,2.26337100499397,0.125600248914791,20.31
1997Q4,2.33808017413121,2.06275749294132,0.889370466540898,20.11
1998Q1,1.87186615446195,1.74169139743259,0.503671919299442,19.4
1998Q2,2.74591804913678,2.1515487992956,0.16358505787885,18.7
1998Q3,2.67428889084433,1.73152250712965,-0.137362124764481,18.32
1998Q4,2.69534169240108,2.12804339478971,-0.235489681975945,17.99
1999Q1,3.38996450460499,2.48642711297476,-0.566417237042488,16.78
1999Q2,2.3348811828639,1.8147244391199,-0.0406901310654699,15.4
1999Q3,2.41543264370829,1.83774172264555,0.056166105413625,15.19
1999Q4,2.39717632990243,1.7280818922488,0.0538084907183061,15.19
2000Q1,2.56442934838976,2.88619659313369,0.707874404938808,14.79
2000Q2,2.98265042115977,2.86987085896123,0.296617453048385,13.74
2000Q3,3.57668058496847,3.0524686356123,0.402310704366337,13.54
2000Q4,3.73595112879867,2.65884229379298,0.262733899781529,13.42
2001Q1,3.71752860376133,3.09032202400572,0.141628701000123,10.94
2001Q2,4.20039968516297,3.53908531834469,0.507329191056507,10.35
2001Q3,3.94292896236399,3.91761006573025,0.668401582462004,10.29
2001Q4,4.13862506037644,4.00469506873521,0.593918322782563,10.63
2002Q1,4.05666027432089,3.36532521131087,0.61153279424698,11.57
2002Q2,4.05117605050332,3.31847949962337,0.337876394384499,11.2
2002Q3,4.06954542760116,3.36062311043832,0.20932957560122,11.51
2002Q4,3.9633935773682,3.77499213035345,0.325927640279677,11.62
2003Q1,4.04149064428737,3.46751714548381,0.300289523997683,11.96
2003Q2,3.78669008615094,3.58910941538001,0.26050778999441,11.28
2003Q3,3.90915599105502,3.15824457795728,0.16198032142023,11.31
2003Q4,3.64376485128736,3.40920930773249,0.489826381040947,11.37
2004Q1,3.67524843070121,3.19216251822154,0.0918230597066866,11.5
2004Q2,3.81611094141358,3.46865411541765,0.552319211188402,11.08
2004Q3,3.71279225716174,3.08883666610705,0.758563905968518,10.74
2004Q4,4.16731890706366,3.1971693454731,-0.0546826987371687,10.56
2005Q1,4.10872446081256,3.40680812122829,0.615213548965391,10.19
2005Q2,4.16374382301943,3.49068393093681,0.108697083189006,9.33
2005Q3,4.00001278441773,3.47838335068392,-0.486737173538673,8.42
2005Q4,3.9861549850798,3.97658174296802,0.227452295540827,8.7
2006Q1,4.04726452138487,3.60905311061723,-0.13033491784553,9.07
2006Q2,3.81649168818973,3.68294974614134,0.399903493804294,8.53
2006Q3,4.11067668850409,4.20155812073517,0.909886300319308,8.15
2006Q4,3.63923986575169,3.94967714350104,0.752567641220265,8.3
2007Q1,3.55730120010883,4.71090979175676,0.483866795503783,8.47
2007Q2,3.49257584544105,4.27875210431564,0.289624207591504,7.95
2007Q3,2.9438476608748,4.63849244151151,0.487044152174528,8.03
2007Q4,3.13607245540122,4.86876437627464,0.823677694569773,8.6
2008Q1,2.75886082079421,6.66794442169078,0.473362286155302,9.63
2008Q2,2.28692677899531,6.79595373057938,1.13937408825308,10.44
2008Q3,2.18322967610619,6.52264172949287,0.802586474770768,11.33
2008Q4,1.27040281901836,6.62323852734414,1.3102099651468,13.91
2009Q1,0.572955779338422,4.94803690709271,2.59435604740374,17.36
2009Q2,0.50786265560272,4.52058531290083,2.24469653998936,17.92
2009Q3,-0.0858278511925513,4.21402856742354,2.88134119244342,17.93
2009Q4,0.00999436390811482,3.38678233033957,2.83435624235226,18.83
2010Q1,0.225606870285877,1.86626418560935,2.86041854390964,20.05
2010Q2,-0.0371819712549285,1.79201381831484,3.04823048305043,20.09
2010Q3,0.220974219372621,0.252592547922413,2.66398108922774,19.79
2010Q4,0.230024720770168,0.256319054625272,2.2000392275448,20.33
2011Q1,0.0974055500767569,0.805405260943533,2.20784413004063,21.29
2011Q2,0.258626408516138,0.415461337732487,1.58308164069988,20.89
2011Q3,-0.0551127816207976,1.12838651680709,1.92991452381725,21.52
2011Q4,0.0379481682926047,1.10502723578559,2.14622393256277,22.85
2012Q1,0.126305842113244,1.04152459989781,2.36233428195381,24.44
2012Q2,-0.0837234869206369,0.0697983218012824,2.62636839528402,24.63
2012Q3,0.549556850989948,-0.56319870097514,2.35950588345436,25.02
2012Q4,0.347963447980011,-3.04428439122771,2.33512929919916,26.02
2013Q1,0.837339676882311,0.535149443667462,2.19372858593878,27.16
2013Q2,0.987156771190836,1.00353654766995,2.27366675395686,26.26
2013Q3,0.360214305725467,1.39520572648652,2.02434399849846,25.98
2013Q4,0.490137029251316,3.77449450188595,1.79629221658023,26.03
2014Q1,-0.359147080155907,0.0983573558180118,1.27032670579298,25.93
2014Q2,-0.532465255910833,0.409852540269964,0.488091673719505,24.47
2014Q3,-0.41898633617004,-0.140069666922141,0.261695204941582,23.67
