EDAD,EDUC,EXPER,RAZA,SALARIO,SEXO
28.5,16,0.25,0,16079.4907644187,0
41.9199981689453,19,13,0,28350.5128305807,0
41.1699981689453,15,12,0,22799.6422053208,0
46.25,12,20,0,12300.5635834983,0
35.1699981689453,16,5.75,0,20500.4018642069,0
30.0799999237061,19,2.92000007629395,0,27249.760905422,0
44.5,12,18,0,9000.17717500567,0
27.8299999237061,12,3.42000007629395,0,10979.6586826491,0
35.4199981689453,15,11.0799999237061,0,16020.1024703681,0
34.3300018310547,16,5.67000007629395,0,21949.508254291,0
34,16,4.92000007629395,0,23999.7854785993,0
38.9199981689453,15,14.6700000762939,0,15479.9321884111,0
44.4199981689453,16,12.4200000762939,0,13848.0556567575,0
29.5,15,2.82999992370605,0,32000.2780337976,0
63.5800018310547,12,29,0,12000.4592072944,0
27.4200000762939,12,3.92000007629395,0,13415.9554346229,0
58.0800018310547,8,36.5,0,12779.5278761527,0
33.75,16,3.67000007629395,0,24250.6812636849,0
29.3299999237061,12,3.82999992370605,0,9300.28400339751,0
39.6699981689453,18,4.67000007629395,0,29498.6551365665,0
56.6699981689453,21,22,0,26001.2587789771,0
59.4199981689453,8,14.5,0,11400.3592436206,0
48.3300018310547,16,22,0,20000.2410161593,0
63.5,8,34,0,12779.5278761527,0
54.1699981689453,12,25.6700000762939,0,12000.4592072944,0
59.8300018310547,12,32.25,0,14099.5726164196,0
32.25,16,5,0,18249.63098589,0
42.5800018310547,19,16.5799999237061,0,24750.476903045,0
35.4199981689453,18,6.17000007629395,0,24999.2290532022,0
44.9199981689453,19,14.5799999237061,0,36801.7229375643,0
56,12,25.5799999237061,0,12300.5635834983,0
37.0800018310547,16,5.82999992370605,0,41497.9772214432,0
64.25,8,37.5800018310547,0,12300.5635834983,0
36.9199981689453,19,6.25,0,28001.1195172831,0
33.4199981689453,16,2.82999992370605,0,22620.2292404547,0
37.1699981689453,15,9.5,0,14400.2350632136,0
28.4200000762939,19,2.17000007629395,0,24750.476903045,0
64.5,12,31.75,0,8580.09643409391,1
23,12,0,0,8700.19079607339,1
40.1699981689453,12,0.5,0,8820.19948895604,1
55.25,12,19,0,12000.4592072944,1
45.5,12,16.5,0,9359.99771186001,1
61.6699981689453,12,17.0799999237061,0,12600.5999902921,1
26.8299999237061,15,0.920000016689301,0,11699.4841909372,1
46.1699981689453,8,8,0,9659.52918767707,1
58.75,15,22.0799999237061,0,11099.9971067579,1
55.25,8,3.57999992370605,0,6360.1045967823,1
33.5,12,6.92000007629395,0,10079.9125472801,1
64.25,8,19,0,8640.36754916719,1
31.9200000762939,16,1.25,0,22699.5384071149,1
24.3299999237061,8,0.419999986886978,0,9000.17717500567,1
23.4200000762939,12,0,0,8160.00425563915,1
53.9199981689453,12,4,0,10499.6789588142,1
55.5800018310547,17,31.25,0,11639.9658021931,1
28.4200000762939,16,1.66999995708466,0,17200.6052646864,1
29.9200000762939,16,0.579999983310699,0,15120.4026203642,1
52,12,13,0,8760.42824073797,1
52.1699981689453,12,4.67000007629395,0,7980.05196990359,1
62,12,6,0,7259.74167661017,1
30.75,16,6.57999992370605,0,13763.8437536338,1
32,16,1.58000004291534,0,18749.0734171743,1
59.5,15,20.0799999237061,0,8280.01260393307,1
29,16,3,0,22299.0540587572,1
44.5,12,0.25,0,13319.704252746,1
59.0800018310547,8,6.25,0,7919.63479746764,1
51.5,12,15.0799999237061,0,8339.84583926333,1
27.5799999237061,16,0.920000016689301,0,17399.5602269724,1
56.9199981689453,8,26.5799999237061,0,6779.78111256179,1
27.8299999237061,8,2.17000007629395,1,11340.0912573394,0
28.6700000762939,12,3.07999992370605,1,10199.5581329965,0
