CVN,DPC,GDPN,IPC,P,PP
0.600000023841858,0,4.90000009536743,0,60.8300018310547,1
1.10000002384186,0,6.55999994277954,0,50.6300010681152,1
6.59999990463257,1,6.55999994277954,0,31.7099990844727,0
10.3999996185303,1,8.22999954223633,1,38.7599983215332,0
6.69999980926514,1,9.30000019073486,1,15.2200002670288,1
2.20000004768372,0,10.3000001907349,0,96.5800018310547,1
11.3000001907349,0,13,0,48.0099983215332,0
3.90000009536743,0,13.1999998092651,0,51.1399993896484,1
13.3000001907349,0,20.7000007629395,0,35.0999984741211,0
8.89999961853027,0,21.5,0,70.7399978637695,1
14.1000003814697,0,22.3999996185303,1,48.0699996948242,0
22,0,24,0,46.1300010681152,1
21.6000003814697,0,25.2000007629395,1,63.8300018310547,0
27.6000003814697,0,34.7000007629395,0,69.6800003051758,0
40.5999984741211,1,36.0999984741211,1,48.2400016784668,0
21.2999992370605,0,37.7000007629395,0,70.4199981689453,0
33.7999992370605,0,39.5999984741211,0,65.9499969482422,0
38,0,42.5,0,73.5800018310547,1
47.7999992370605,1,49.5999984741211,1,57.25,0
50.7000007629395,1,50.0999984741211,1,53.9799995422363,0
45.9000015258789,1,53.7999992370605,0,69.0100021362305,0
54.2000007629395,0,55.9000015258789,0,69.6800003051758,0
38,1,63.9000015258789,1,71.1900024414062,1
54.7000007629395,1,68.4000015258789,0,81.879997253418,0
35.2000007629395,0,69.5999984741211,0,139.529998779297,0
24.1000003814697,0,75.1999969482422,0,137.289993286133,1
76,1,77.6999969482422,0,101.730003356934,1
101.800003051758,1,81.9000015258789,0,91.5599975585938,1
60.5,1,82,0,100.269996643066,1
29.5,0,82.4000015258789,0,157.559997558594,1
83.9000015258789,0,83,0,152.520004272461,1
100,0,100,1,100,1
